title,image,author,audioUrls
Ecommerce Conversations  by Practical Ecommerce,http://is4.mzstatic.com/image/thumb/Music6/v4/81/e6/c0/81e6c012-4521-f8df-6f0c-1439985ae4f0/source/600x600bb.jpg,Practical Ecommerce,http://allcrimenocattle.podbean.com/mf/feed/ry2472/S1E2_-_Northside_Patricide_edited_final_.mp3
Eat Sleep Code Podcast,http://is4.mzstatic.com/image/thumb/Music71/v4/e4/dd/92/e4dd9259-bca2-8b89-adac-07de06839762/source/600x600bb.jpg,Telerik,http://allcrimenocattle.podbean.com/mf/feed/ttkw2z/S1E1_-_KFC_edited_final_.mp3
SoundtrackAlley,http://is5.mzstatic.com/image/thumb/Music71/v4/43/88/12/4388122e-226e-c59f-6d2d-88f7320f1aae/source/600x600bb.jpg,Randy Andrews,http://allcrimenocattle.podbean.com/mf/feed/edtt5w/Episode_Zero_take_two_edited_final_.mp3
The Tech M&A Podcast,http://is1.mzstatic.com/image/thumb/Music71/v4/67/90/5f/67905fc3-ccb6-3e71-bbd9-9f78a239afbe/source/600x600bb.jpg,Timothy Goddard,http://feeds.soundcloud.com/stream/372185558-user-673720264-rushing-down-mid-episode-16-aret-der-gik.mp3
The Tech Informist - For fans of Apple  Google  Microsoft & other technology,http://is4.mzstatic.com/image/thumb/Music62/v4/41/26/18/41261844-451b-a412-cd84-4f486051e62b/source/600x600bb.jpg,The Tech Informist,http://omnystudio.com/d/clips/88b564ea-a9a6-4751-910a-a5d800019396/ce873d40-0394-4d7f-a831-a7b2004a66be/9f0bfea8-e442-46a1-aab9-a85000278189/audio.mp3?utm_source=Podcast&in_playlist=4a04fa63-81ed-4279-9c90-a7b2004ae407
TechNative Podcasts,http://is4.mzstatic.com/image/thumb/Music111/v4/64/f7/8a/64f78ac6-df93-bc06-e0b8-2f546256a9eb/source/600x600bb.jpg,TechNative,http://omnystudio.com/d/clips/88b564ea-a9a6-4751-910a-a5d800019396/ce873d40-0394-4d7f-a831-a7b2004a66be/b43679cd-ae44-438c-b707-a85000211757/audio.mp3?utm_source=Podcast&in_playlist=4a04fa63-81ed-4279-9c90-a7b2004ae407
Sermons from Living Water Dayton,http://is5.mzstatic.com/image/thumb/Music71/v4/95/85/cb/9585cb39-5646-171e-e2a7-82d411226bb6/source/600x600bb.jpg,Living Water,https://www.podtrac.com/pts/redirect.mp3/streaming.carstuffshow.com/carstuff/2017-12-20-carstuff-pedestrian-safety-changes.mp3?awCollectionId=1001&awEpisodeId=929459
Social Media  Mobility  Analytics  Cloud: Tech Show! SMACtalk,http://is2.mzstatic.com/image/thumb/Music118/v4/f4/87/a3/f487a32a-f3c3-2ab3-cb84-c6a9762b0f73/source/600x600bb.jpg,Brian Fanzo & Daniel Newman,http://omnystudio.com/d/clips/88b564ea-a9a6-4751-910a-a5d800019396/ce873d40-0394-4d7f-a831-a7b2004a66be/deac7310-6095-4a7d-9af8-a8500014cb38/audio.mp3?utm_source=Podcast&in_playlist=4a04fa63-81ed-4279-9c90-a7b2004ae407
Radio Leo (Video LO),http://is4.mzstatic.com/image/thumb/Music71/v4/15/32/be/1532beba-7530-1ee9-6657-54349895d21d/source/600x600bb.jpg,Leo Laporte,https://omnystudio.com/d/clips/bc221f25-e512-4e20-b2da-a849017e4f89/8767f8ec-96f7-4da8-ac6c-a84a00a3525c/e1b51da1-cf3a-45d3-a6c6-a84e009c0b56/audio.mp3?utm_source=Podcast&in_playlist=a5a301f6-1cf7-46f3-beb5-a84a00bb8fe4
Digital India,http://is4.mzstatic.com/image/thumb/Music60/v4/ba/e7/74/bae774ef-eed6-0b0a-49c3-599339dde388/source/600x600bb.jpg,Digital India,https://omnystudio.com/d/clips/bc221f25-e512-4e20-b2da-a849017e4f89/8767f8ec-96f7-4da8-ac6c-a84a00a3525c/f7568991-8a99-4475-8719-a84a00f139dd/audio.mp3?utm_source=Podcast&in_playlist=a5a301f6-1cf7-46f3-beb5-a84a00bb8fe4
